"","NucSubst","ExpFr","ObsFr","MutSpec"
"1","A>C",8954,29394,3.28277864641501
"2","A>G",8954,138372,15.4536519991065
"3","A>U",8954,23667,2.64317623408532
"4","C>A",5492,27927,5.08503277494538
"5","C>G",5492,14220,2.58922068463219
"6","C>U",5492,459312,83.632920611799
"7","G>A",5863,148347,25.3022343510148
"8","G>C",5863,13758,2.34658024901927
"9","G>U",5863,160647,27.4001364489169
"10","U>A",9594,21744,2.26641651031895
"11","U>C",9594,458289,47.7682926829268
"12","U>G",9594,132627,13.8239524702939
