"","NucSubst","ExpFr","ObsFr_edge1","ObsFr_edge2","ObsFr_edge3","ObsFr_edge4","ObsFr_edge5","ObsFr_edge6","ObsFr_edge7","ObsFr_edge8","ObsFr_edge9","ObsFr_edge10","ObsFr_edge11","ObsFr_edge12","ObsFr_edge13","ObstoExp_edge1","MutSpec_edge1","ObstoExp_edge2","MutSpec_edge2","ObstoExp_edge3","MutSpec_edge3","ObstoExp_edge4","MutSpec_edge4","ObstoExp_edge5","MutSpec_edge5","ObstoExp_edge6","MutSpec_edge6","ObstoExp_edge7","MutSpec_edge7","ObstoExp_edge8","MutSpec_edge8","ObstoExp_edge9","MutSpec_edge9","ObstoExp_edge10","MutSpec_edge10","ObstoExp_edge11","MutSpec_edge11","ObstoExp_edge12","MutSpec_edge12","ObstoExp_edge13","MutSpec_edge13"
"1","A>C",1590,21543,8358,3357,1299,633,249,93,39,18,0,0,0,0,13.5490566037736,0.0144655038142956,5.25660377358491,0.0151370901608302,2.11132075471698,0.0153506908890143,0.816981132075472,0.0151243041890796,0.39811320754717,0.0169963906534212,0.156603773584906,0.0161591877661639,0.0584905660377358,0.0166600213143739,0.0245283018867925,0.0118513591860264,0.0113207547169811,0.0161253216210848,0,0,0,0,0,0,0,0
"2","A>G",2596,91884,36456,14454,5463,2466,960,411,213,99,39,6,15,6,35.3944530046225,0.0377885051274104,14.0431432973806,0.0404391001091068,5.56779661016949,0.0404815443151699,2.10439137134052,0.0389573932413511,0.949922958397535,0.0405544487987507,0.36979969183359,0.0381578458769942,0.158320493066256,0.0450948412310511,0.0820493066255778,0.0396438289235073,0.038135593220339,0.0543204690201797,0.0150231124807396,0.0586505706457919,0.00231124807395994,0.0292503311685608,0.00577812018489985,0.225214344504768,0.00231124807395994,0.0750024839496244
"3","A>U",1387,17784,6687,2664,936,444,201,63,39,9,6,0,0,0,12.8219178082192,0.0136891819397759,4.82119682768565,0.0138832779123499,1.92069214131218,0.0139646954582202,0.674837779379957,0.0124928856406963,0.320115356885364,0.0136664786714929,0.144917087238645,0.0149532949916126,0.0454217736121125,0.0129376028952472,0.0281182408074982,0.0135859128376222,0.00648882480173035,0.00924270417358501,0.00432588320115357,0.016888345781873,0,0,0,0,0,0
"4","C>A",704,20238,8331,3243,1287,642,234,72,63,6,0,0,0,0,28.7471590909091,0.0306915936393601,11.8338068181818,0.0340770216794375,4.60653409090909,0.0334925334017904,1.828125,0.033843031999308,0.911931818181818,0.0389325175283627,0.332386363636364,0.0342973450636577,0.102272727272727,0.0291306091164089,0.0894886363636364,0.0432382958065366,0.00852272727272727,0.0121398017886008,0,0,0,0,0,0,0,0
"5","C>G",582,7368,2832,1167,516,213,72,18,12,6,0,0,0,0,12.659793814433,0.0135160920104114,4.8659793814433,0.0140122352359489,2.00515463917526,0.0145787933841338,0.88659793814433,0.0164130802823325,0.365979381443299,0.0156245219203655,0.123711340206186,0.012765176275345,0.0309278350515464,0.00880925636509961,0.0206185567010309,0.00996228448627124,0.0103092783505155,0.0146845712356958,0,0,0,0,0,0,0,0
"6","C>U",1670,390759,158919,62343,23832,10140,4251,1464,840,360,99,27,18,12,233.987425149701,0.249814144997925,95.1610778443114,0.274028988520997,37.3311377245509,0.27142193078172,14.2706586826347,0.264184537954248,6.07185628742515,0.259221848198247,2.54550898203593,0.262658789501481,0.876646706586826,0.249697580418177,0.502994011976048,0.243032017946521,0.215568862275449,0.307057022485327,0.0592814371257485,0.231436070294044,0.0161676646706587,0.20461219683301,0.0107784431137725,0.420112410779193,0.00718562874251497,0.233181375249371
"7","G>A",919,96624,36381,14025,5733,2559,975,393,213,66,39,12,6,6,105.140369967356,0.112251979401698,39.5875952121872,0.113997749076807,15.2611534276387,0.110958625473706,6.23830250272035,0.115486124428542,2.78454842219804,0.118878931620067,1.06093579978237,0.109472846050122,0.427638737758433,0.12180546314616,0.23177366702938,0.11198626755759,0.0718171926006529,0.102296654027121,0.0424374319912949,0.165676693576144,0.0130576713819369,0.165253231150346,0.00652883569096844,0.254475054770131,0.00652883569096844,0.211867734856611
"8","G>C",277,7230,2955,1110,408,207,87,33,12,0,0,0,0,0,26.101083032491,0.0278665391403403,10.6678700361011,0.0307195515423744,4.0072202166065,0.0291351272571471,1.47292418772563,0.027267402621677,0.747292418772563,0.0319036737315319,0.314079422382672,0.0324083401286511,0.11913357400722,0.0339331283088855,0.0433212996389892,0.0209315868989526,0,0,0,0,0,0,0,0,0,0
"9","G>U",277,94557,30489,12384,4959,2052,933,318,213,63,30,9,0,3,341.361010830325,0.364450393014268,110.068592057762,0.316957159720966,44.7075812274368,0.325053527885144,17.9025270758123,0.331419239217883,7.40794223826715,0.316262504816925,3.36823104693141,0.347551509655534,1.14801444043321,0.326991963703806,0.768953068592058,0.371535667456408,0.227436823104693,0.323961786358617,0.108303249097473,0.422818332120177,0.0324909747292419,0.411194186174642,0,0,0.0108303249097473,0.351455682911959
"10","U>A",2421,16209,6573,2571,1074,468,168,60,39,24,6,0,0,0,6.69516728624535,0.00714802297671082,2.71499380421313,0.00781818599434635,1.06195786864932,0.00772113234920449,0.44361833952912,0.0082124524636794,0.193308550185874,0.00825279737853538,0.0693928128872367,0.00716030953404315,0.0247831474597274,0.00705904888405338,0.0161090458488228,0.00778342053109543,0.00991325898389095,0.0141204798995042,0.00247831474597274,0.00967539677796689,0,0,0,0,0,0
